"filename", "language", "JSON", "Java", "Groovy", "Properties", "Batch", "comment", "blank", "total"
"e:\Java\Ornaments\build.gradle", "Groovy", 0, 0, 49, 0, 0, 21, 12, 82
"e:\Java\Ornaments\gradle.properties", "Properties", 0, 0, 0, 9, 0, 2, 5, 16
"e:\Java\Ornaments\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 1, 6
"e:\Java\Ornaments\gradlew.bat", "Batch", 0, 0, 0, 0, 68, 0, 22, 90
"e:\Java\Ornaments\settings.gradle", "Groovy", 0, 0, 9, 0, 0, 0, 1, 10
"e:\Java\Ornaments\src\main\java\ornaments\Client\client.java", "Java", 0, 24, 0, 0, 0, 0, 7, 31
"e:\Java\Ornaments\src\main\java\ornaments\Commands\Commands.java", "Java", 0, 95, 0, 0, 0, 0, 11, 106
"e:\Java\Ornaments\src\main\java\ornaments\Data\PlayerInfo.java", "Java", 0, 37, 0, 0, 0, 0, 7, 44
"e:\Java\Ornaments\src\main\java\ornaments\OFcape\CapeRender.java", "Java", 0, 58, 0, 0, 0, 0, 6, 64
"e:\Java\Ornaments\src\main\java\ornaments\OFcape\ElytraRender.java", "Java", 0, 73, 0, 0, 0, 4, 7, 84
"e:\Java\Ornaments\src\main\java\ornaments\OFcape\ElytraWingModel.java", "Java", 0, 78, 0, 0, 0, 0, 10, 88
"e:\Java\Ornaments\src\main\java\ornaments\OFcape\Get.java", "Java", 0, 96, 0, 0, 0, 0, 14, 110
"e:\Java\Ornaments\src\main\java\ornaments\OFcape\PlayerHandler.java", "Java", 0, 66, 0, 0, 0, 0, 14, 80
"e:\Java\Ornaments\src\main\java\ornaments\mixins\ClientPlayNetworkHandlerMixin.java", "Java", 0, 17, 0, 0, 0, 0, 4, 21
"e:\Java\Ornaments\src\main\java\ornaments\mixins\PlayerEntityRendererMixin.java", "Java", 0, 28, 0, 0, 0, 0, 5, 33
"e:\Java\Ornaments\src\main\java\ornaments\wings\models\DiscordsWingsModel.java", "Java", 0, 157, 0, 0, 0, 3, 29, 189
"e:\Java\Ornaments\src\main\java\ornaments\wings\models\FeatheredWingModel.java", "Java", 0, 129, 0, 0, 0, 3, 25, 157
"e:\Java\Ornaments\src\main\java\ornaments\wings\models\LeatherWingModel.java", "Java", 0, 185, 0, 0, 0, 3, 35, 223
"e:\Java\Ornaments\src\main\java\ornaments\wings\models\LightWingsModel.java", "Java", 0, 92, 0, 0, 0, 3, 17, 112
"e:\Java\Ornaments\src\main\java\ornaments\wings\models\WingEntityModel.java", "Java", 0, 97, 0, 0, 0, 2, 16, 115
"e:\Java\Ornaments\src\main\java\ornaments\wings\models\ZanzasWingsModel.java", "Java", 0, 68, 0, 0, 0, 3, 12, 83
"e:\Java\Ornaments\src\main\java\ornaments\wings\renderers\WingsFeatureRenderer.java", "Java", 0, 69, 0, 0, 0, 0, 8, 77
"e:\Java\Ornaments\src\main\resources\fabric.mod.json", "JSON", 30, 0, 0, 0, 0, 0, 4, 34
"e:\Java\Ornaments\src\main\resources\ornaments.mixins.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 14
"Total", "-", 44, 1369, 58, 14, 68, 44, 272, 1869